dlxs_id,link,original_lang,approved,mul?,possible codes,possible lang names,notes,subject headings & Notes
AQG7227.0001.001,http://name.umdl.umich.edu/AQG7227.0001.001,map,phi - Cuyunon,n,"['map', 'cre', 'nic', 'paa', 'phi']","['Dia', 'Cris', 'San ', 'Ama ', 'Cuyunon']",,"['Palawan (Philippines) -- History.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 9.', 'In Cuyunon language (Philippine).', 'Contents: Dialogo Historicos -- Adalan sa mga cristianos -- Novena sa mahimayaen ng̃a Ama si San Agustin.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQJ7932.0001.001,http://name.umdl.umich.edu/AQJ7932.0001.001,map,war - Waray,n,"['mkh', 'war']","['Wa', 'Waray']",,"['Devotional literature, Waray', 'Sacred Heart, Devotion to']['Microfilm no. 25', 'In Warray language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AQJ7928.0001.001,http://name.umdl.umich.edu/AQJ7928.0001.001,map,war - Waray,n,['mkh'],['Wa'],Waray spelled Warray,"['Novenas.', 'Sacred Heart, Devotion to', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 25', 'In Warray language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AQJ7929.0001.001,http://name.umdl.umich.edu/AQJ7929.0001.001,map,war - Waray,n,['mkh'],['Wa'],Waray spelled Warray,"['Novenas.', 'Sacred Heart, Devotion to', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 25', 'In Warray language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AQJ7927.0001.001,http://name.umdl.umich.edu/AQJ7927.0001.001,map,war - Waray,n,['mkh'],['Wa'],Waray spelled Warray,"['Novenas.', 'Jesus Christ -- Family.', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 25', 'In Warray langauage.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AQJ7926.0001.001,http://name.umdl.umich.edu/AQJ7926.0001.001,map,war - Waray,n,['mkh'],['Wa'],Waray spelled Warray,"['Novenas.', 'Mary, -- Blessed Virgin, Saint -- Prayer-books and devotions', 'Catholic Church -- Prayer-books and devotions']['Microfilm no. 25', 'In Warray language.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Barlett collection on the Philippines and the East Indies.']"
AAW9129.0001.001,http://name.umdl.umich.edu/AAW9129.0001.001,map,"tgl - Tagalog, eng - English, pam - Pampanga, spa - Spanish",y,"['eng', 'pam', 'spa', 'tgl']","['English', 'Pampanga', 'Spanish', 'Tagalog']",,"['Pampanga language -- Dictionaries', 'Spanish language -- Dictionaries', 'Tagalog language -- Dictionaries', 'English language -- Dictionaries'][]"
AQH7543.0001.001,http://name.umdl.umich.edu/AQH7543.0001.001,map,"tgl - Tagalog, eng - English, pam - Pampanga, spa - Spanish",y,"['eng', 'pam', 'spa', 'tgl']","['English', 'Pampanga', 'Spanish', 'Tagalog']",,"['Pampanga language -- Dictionaries', 'Spanish language -- Dictionaries', 'Tagalog language -- Dictionaries and glossaries', 'English language -- Dictionaries and glossaries']['Microfilm no. 9', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965 1 microfilm reel ; 35 mm.', 'From Bartlett Collection on Philippines and the East Indies.']"
APT6493.0001.001,http://name.umdl.umich.edu/APT6493.0001.001,map,btk - Toba-Batak,n,"['btk', 'sai']","['Batak', 'Toba ']",,"['Bible stories, Toba-Batak.']['Microfilm no. 45.', 'In Toba Batak.', 'Microfilm. Philadelphia, PA : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From the Bartlett Collection on the Philippines and the East Indies.']"
AQJ2103.0001.001,http://name.umdl.umich.edu/AQJ2103.0001.001,map,hil - Hiligaynon,n,"['ceb', 'hil']","['Bisayan', 'Hiligaynon']","Hiligaynon is a Bisayan language, but has its own code.","['Bisayan languages -- Texts', 'Hiligaynon language -- Texts', 'Bible -- Criticism, interpretation, etc -- Phillippines']['Microfilm no. 16', 'In Hiligaynon.', 'Microfilm. Philadelphia, PA. : American Philosophical Society, 1965. 1 microfilm reel ; 35 mm.', 'From Bartlett Collection on the Philippines and the East Indies.']"
